Metric,Value
Algorithm,my_algorithm
Trajectory Pattern,linear
Number of Trials,5
Duration per Trial (s),5.0

Metric,Mean,Std Dev,95% CI Low,95% CI High
avg_aoi,0.020549,0.012482,0.003221,0.037876
peak_aoi,0.205612,0.196671,-0.067411,0.478636
handoff_count,2.000000,1.897367,-0.633967,4.633967
ping_pong_count,0.000000,0.000000,0.000000,0.000000
outage_time_s,0.000000,0.000000,0.000000,0.000000
