t,ue_x,ue_y,ue_vx_mps,ue_vy_mps,current_tower,candidate_tower,predictive_model,replay_mode,tower_a_rss_dbm,tower_a_doppler_hz,tower_a_distance_m,tower_a_blocked,tower_b_rss_dbm,tower_b_doppler_hz,tower_b_distance_m,tower_b_blocked,tower_c_rss_dbm,tower_c_doppler_hz,tower_c_distance_m,tower_c_blocked,tower_d_rss_dbm,tower_d_doppler_hz,tower_d_distance_m,tower_d_blocked
0.0175,0,0,-3764.7059,-2352.9412,TOWER_A,,velocity,0,-36.195,86092.2468,25.4951,0,-50.9806,82128.6613,105.3233,0,-47.2413,77919.1147,73.5731,0,-52.2292,87365.9998,118.7266,0
0.0338,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.0493,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.0659,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.083,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.0996,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.1162,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.1332,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.1503,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.1673,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.1834,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.2,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.2164,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.2335,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.2506,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.2677,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.2838,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.2997,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.3165,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.3331,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.3497,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.3654,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.3818,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.3986,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.4145,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.4314,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.4475,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.4644,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.4811,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.4979,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.5141,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.5304,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.5473,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.5638,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.5799,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.5965,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.6129,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.6296,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.6459,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.6624,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.6789,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.696,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.7124,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.7295,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.7457,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.7617,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.7773,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
0.7943,0,0,0.0,0.0,TOWER_A,,velocity,0,-36.195,0.0,25.4951,0,-50.9806,0.0,105.3233,0,-47.2413,0.0,73.5731,0,-52.2292,0.0,118.7266,0
