Metric,Value
Algorithm,A3 (3GPP Standard)
Trajectory Pattern,linear
Number of Trials,50
Duration per Trial (s),30.0

Metric,Mean,Std Dev,95% CI Low,95% CI High
avg_aoi,0.188501,0.141425,0.147900,0.229102
peak_aoi,1.134915,0.729008,0.925630,1.344200
handoff_count,0.760000,0.788923,0.533514,0.986486
ping_pong_count,0.000000,0.000000,0.000000,0.000000
outage_time_s,0.002333,0.016333,-0.002356,0.007022
