Metric,Value
Algorithm,Greedy RSS
Trajectory Pattern,linear
Number of Trials,50
Duration per Trial (s),30.0

Metric,Mean,Std Dev,95% CI Low,95% CI High
avg_aoi,0.196222,0.122504,0.161053,0.231390
peak_aoi,2.020767,1.253634,1.660872,2.380663
handoff_count,357.120000,59.814928,339.948200,374.291800
ping_pong_count,89.260000,16.597361,84.495193,94.024807
outage_time_s,0.000000,0.000000,0.000000,0.000000
