t,ue_x,ue_y,ue_vx_mps,ue_vy_mps,current_tower,candidate_tower,predictive_model,replay_mode,tower_a_rss_dbm,tower_a_doppler_hz,tower_a_distance_m,tower_a_blocked,tower_b_rss_dbm,tower_b_doppler_hz,tower_b_distance_m,tower_b_blocked,tower_c_rss_dbm,tower_c_doppler_hz,tower_c_distance_m,tower_c_blocked,tower_d_rss_dbm,tower_d_doppler_hz,tower_d_distance_m,tower_d_blocked
0.0172,665,502,147.0588,600.0,TOWER_A,TOWER_D,velocity,0,-44.3117,7787.0059,55.5461,0,-38.6218,8953.9957,32.179,0,-39.4767,-1634.2611,34.9298,0,-32.526,-9950.1465,17.9301,0
0.0339,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.0503,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.067,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.0841,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.1006,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.1171,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.1335,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.1498,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.1669,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.1835,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.2,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.2173,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.2345,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.251,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.2671,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.2842,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.3016,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.3176,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.3333,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.3497,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.3667,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.3826,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.3996,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.417,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.4341,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.4506,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.4668,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.4841,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.5007,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.5169,665,502,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.5337,665,502,0.0,0.0,TOWER_D,,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.549,665,502,0.0,0.0,TOWER_D,,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.5655,665,502,0.0,0.0,TOWER_D,,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.5826,665,502,0.0,0.0,TOWER_D,,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.5987,665,502,0.0,0.0,TOWER_D,,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.6168,665,502,0.0,0.0,TOWER_D,,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.6324,665,502,0.0,0.0,TOWER_D,,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.6489,665,502,0.0,0.0,TOWER_D,,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.6655,665,502,0.0,0.0,TOWER_D,,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
0.6817,665,502,0.0,0.0,TOWER_D,,velocity,0,-44.3117,0.0,55.5461,0,-38.6218,0.0,32.179,0,-39.4767,0.0,34.9298,0,-32.526,0.0,17.9301,0
