t,ue_x,ue_y,ue_vx_mps,ue_vy_mps,current_tower,candidate_tower,predictive_model,replay_mode,tower_a_rss_dbm,tower_a_doppler_hz,tower_a_distance_m,tower_a_blocked,tower_b_rss_dbm,tower_b_doppler_hz,tower_b_distance_m,tower_b_blocked,tower_c_rss_dbm,tower_c_doppler_hz,tower_c_distance_m,tower_c_blocked,tower_d_rss_dbm,tower_d_doppler_hz,tower_d_distance_m,tower_d_blocked
0.0168,648,469,47.0588,405.8824,TOWER_A,TOWER_D,velocity,0,-44.0162,3974.0502,53.9935,0,-37.9819,6045.9522,30.263,0,-39.4242,-2879.6578,34.7541,0,-34.3823,-6286.6427,21.4255,0
0.0337,648,469,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.0162,0.0,53.9935,0,-37.9819,0.0,30.263,0,-39.4242,0.0,34.7541,0,-34.3823,0.0,21.4255,0
0.0502,648,469,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.0162,0.0,53.9935,0,-37.9819,0.0,30.263,0,-39.4242,0.0,34.7541,0,-34.3823,0.0,21.4255,0
0.0662,648,469,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.0162,0.0,53.9935,0,-37.9819,0.0,30.263,0,-39.4242,0.0,34.7541,0,-34.3823,0.0,21.4255,0
0.0833,648,469,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.0162,0.0,53.9935,0,-37.9819,0.0,30.263,0,-39.4242,0.0,34.7541,0,-34.3823,0.0,21.4255,0
0.099,648,469,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.0162,0.0,53.9935,0,-37.9819,0.0,30.263,0,-39.4242,0.0,34.7541,0,-34.3823,0.0,21.4255,0
0.116,648,469,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.0162,0.0,53.9935,0,-37.9819,0.0,30.263,0,-39.4242,0.0,34.7541,0,-34.3823,0.0,21.4255,0
0.133,648,469,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.0162,0.0,53.9935,0,-37.9819,0.0,30.263,0,-39.4242,0.0,34.7541,0,-34.3823,0.0,21.4255,0
0.1498,648,469,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.0162,0.0,53.9935,0,-37.9819,0.0,30.263,0,-39.4242,0.0,34.7541,0,-34.3823,0.0,21.4255,0
0.1672,648,469,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.0162,0.0,53.9935,0,-37.9819,0.0,30.263,0,-39.4242,0.0,34.7541,0,-34.3823,0.0,21.4255,0
0.1835,648,469,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.0162,0.0,53.9935,0,-37.9819,0.0,30.263,0,-39.4242,0.0,34.7541,0,-34.3823,0.0,21.4255,0
0.2011,648,469,0.0,0.0,TOWER_A,TOWER_D,velocity,0,-44.0162,0.0,53.9935,0,-37.9819,0.0,30.263,0,-39.4242,0.0,34.7541,0,-34.3823,0.0,21.4255,0
