Metric,Value
Algorithm,my_algorithm
Trajectory Pattern,random_walk
Number of Trials,100
Duration per Trial (s),30.0

Metric,Mean,Std Dev,95% CI Low,95% CI High
avg_aoi,0.159526,0.145952,0.130420,0.188631
peak_aoi,0.994787,0.819137,0.831434,1.158141
handoff_count,0.030000,0.170587,-0.004019,0.064019
ping_pong_count,0.000000,0.000000,0.000000,0.000000
outage_time_s,0.014833,0.026760,0.009497,0.020170
